Title,Description
"film essay for ""Cat People""","Cat People By Chuck Bowen Producer Val Lewton was a practitioner of the kind of suggestive horror film that seeps gradually into one's bones, haunting us long after we've seen it and for reasons that might not be readily explicable. Working on skeletal budgets for RKO Pictures, Lewton and his collaborators bring to mind a paraphrasing of something famously said of the music of..."
"Cat, window, Amsterdam, 1975",1 photograph : color.
Two little fraid cats,1 print : lithograph ; sheet 32.3 x 42.7 cm.
[Domestic cat nursing kittens],1 print : woodcut.
"Gaston cat, portrait photograph",1 negative : safety ; 5 x 7 in.
The coming of the cat,"1 photomechanical print : offset, color. | Illustration shows many rats taking chunks of cheese labeled ""Graft"" from a large block of cheese labeled ""Public Service"" and running into a hole labeled ""Statue of Limitation"" as a black cat with collar labeled ""The Recall"" approaches through an open doorway."
[Tearing the Cat],No Description
[Two cats facing camera],1 photograph : gelatin silver print ; sheet 26 x 21 cm (8 x 10 in. format)
"Courtyard with cats, New Orleans",1 negative : safety ; 5 x 7 in. or smaller.
Something the cat brought in,"1 drawing. | Cartoon shows British Prime Minister Neville Chamberlain (holding his trademark umbrella) gazing in dismay at a scrawny cat (labeled ""Appeasement"") holding in his mouth a dead rat (labeled ""Hitler's Promise to Make No More Demands""). Expresses skepticism at the fruits of Chamberlain's diplomacy at Munich, in 1938, when Hitler had promised that the Czech Sudentenland was his last objective. Hitler very..."
Whose Cat,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,..."
Has anybody seen our cat?,Victor 883. Matrix/Take: [Pre-matrix B-]3483/1.
Cat family,1 print.
Can Cats Speak to Us?,"Many cat owners will tell you they can interpret the meaning of their pet’s sounds, but are these actual words that can be translated and compared amongst different cats? Do cats have an actual language?"
"""Naughty cat!""",1 print : lithograph.
WorldCat,"Union catalog of books and other materials in libraries worldwide, containing bibliographic records produced by OCLC member libraries. Offers millions of bibliographic records and includes records representing hundreds of languages."
[Cats decorating Christmas tree],1 negative : glass ; 8 x 10 in.
[Cats in the dormitory],1 negative : glass ; 8 x 10 in.
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.
Emmons cat,1 negative : glass ; 5 x 7 in.
Emmons [cat],1 negative : glass ; 5 x 7 in.
Emmons cat,1 negative : glass ; 5 x 7 in.
Emmons cat,1 negative : glass ; 5 x 7 in.
The cat,1 print : col. lithograph ; 33 x 55 cm.
Cat's cradle,"1 print : serigraph, col."
Witches' cat,1 print : col. woodcut ; 38.3 x 29.5 cm.
Calamity cat,"1 print : etching, aquatint, and mezzotint ; 20 x 13 cm."
HOAN CAT/CAMP DATA INPUT SHEET,post-1975 Vietnam
While the cat's away,1 drawing.
